PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS07509427,27/02/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/06/2019,83,0,
LS0710854A,29/04/2017,HUNSLET LANE CP - CITY,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,14/06/2019,113,0,
LS07617033,06/06/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS07515044,26/06/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS05615092,13/09/2017,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,29/04/2019,83,0,
LS05023366,09/11/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05126347,18/11/2017,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,10/05/2019,83,0,
LS08426507,05/01/2018,WOODHOUSE LN CP - THE BRIDGE - CITY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,25/06/2019,0,0,
LS12127758,15/01/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS07531878,30/03/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/04/2019,25,0,
LS06351473,01/05/2018,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/05/2019,83,0,
LS12438703,16/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS11747338,17/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS08520163,18/05/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/04/2019,83,0,
LS15302242,19/05/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,02/04/2019,83,0,
LS05745961,31/05/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/04/2019,0,0,
LS08521359,31/05/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/05/2019,83,0,
LS12138663,11/06/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS09923314,13/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS09826602,14/06/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/04/2019,83,0,
LS06636484,19/06/2018,QUARRY HILL E CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05028654,22/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/04/2019,83,0,
LS05028654,22/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/05/2019,83,0,
LS11628292,26/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/04/2019,83,0,
LS06357323,04/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,0,0,
LS01744537,11/07/2018,LEISURE CENTRE CP - PUDSEY                                  ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,08/05/2019,83,0,
LS03542409,12/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14925410,24/07/2018,BECKETT ST LOWER CP - CITY,73 PARKED WITHOUT PAYMENT,50,02/04/2019,83,0,
LS06358858,25/07/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/05/2019,83,0,
LS01149919,30/07/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,13/05/2019,83,0,
LS08639621,30/07/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS09828415,31/07/2018,CASTLE ST CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/05/2019,83,0,
LS03543605,01/08/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,0,83,
LS05926773,01/08/2018,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS08312155,06/08/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,14/06/2019,83,0,
LS07540948,09/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05749361,19/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/06/2019,83,0,
LS08438379,21/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,83,0,
LS06838718,21/08/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS14343732,21/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/04/2019,83,0,
LS03836556,24/08/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/06/2019,83,0,
LS07630450,24/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/04/2019,83,0,
LS06920455,25/08/2018,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,25/06/2019,0,0,
LS06361976,28/08/2018,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2019,83,0,
LS0794438A,30/08/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/04/2019,83,0,
LS07756583,30/08/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,12/04/2019,83,0,
LS12444149,31/08/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,25/04/2019,0,83,
LS12444149,31/08/2018,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,02/04/2019,0,83,
LS08439189,01/09/2018,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,08/05/2019,83,0,
LS04958162,07/09/2018,BECKETT ST LOWER CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/04/2019,0,0,
LS05750972,09/09/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/05/2019,83,0,
LS09926039,14/09/2018,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,12/04/2019,83,0,
LS09926094,15/09/2018,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,10/06/2019,83,0,
LS07543152,17/09/2018,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/06/2019,83,0,
LS07117777,20/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/04/2019,83,0,
LS09130969,20/09/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
LS15012209,20/09/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/04/2019,83,0,
LS01747411,22/09/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,01/04/2019,0,0,
LS08127142,22/09/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/04/2019,83,0,
LS05752195,23/09/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/05/2019,83,0,
LS14125298,23/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/04/2019,83,0,
LS14221961,23/09/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,83,0,
LS06641531,25/09/2018,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/06/2019,83,0,
LS15313205,27/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/05/2019,0,0,
LS07118270,02/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/04/2019,83,0,
LS07118532,04/10/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/04/2019,83,0,
LS06733742,05/10/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,12/04/2019,83,0,
LS05753449,08/10/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,17/05/2019,83,0,
LS07543662,10/10/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/06/2019,83,0,
