,PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,Unnamed: 8
0,LS45114230,06/05/2009,PORTLAND CRESCENT CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
1,LS60117052,06/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
2,LS28131594,07/05/2009,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
3,LS48124467,07/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
4,LS13116407,07/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
5,LS13116418,07/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
6,LS58121250,08/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,50.0,0.0,
7,LS71101994,08/05/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
8,LS13116666,08/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
9,LS46111464,08/05/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
10,LS71102035,08/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
11,LS38121815,09/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
12,LS55106807,09/05/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
13,LS57099757,09/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
14,LS60117507,09/05/2009,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
15,LS65110527,09/05/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
16,LS13117002,10/05/2009,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
17,LS58121556,10/05/2009,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
18,LS65110662,10/05/2009,THE MARKETS CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0.0,0.0,
19,LS19103088,11/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
20,LS46111894,11/05/2009,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
21,LS31097610,12/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
22,LS59073561,12/05/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,50.0,0.0,
23,LS64108530,12/05/2009,OATLAND GREEN CP - SHEEPSCAR                                ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0.0,0.0,
24,LS10001497,13/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
25,LS58121884,13/05/2009,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
26,LS51100015,14/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
27,LS47115879,15/05/2009,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
28,LS71102192,15/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
29,LS89654392,15/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
30,LS23112297,16/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
31,LS47116328,18/05/2009,NORTH PARADE CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
32,LS75006055,19/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
33,LS19104670,21/05/2009,QUARRY HILL F CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
34,LS65111745,21/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
35,LS15055890,21/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0.0,0.0,
36,LS25142040,21/05/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0.0,0.0,
